answers;H;(H);(Hd);A;(A);Ad;At;Sex;Obj;Aobj;Aat;Food;N;Geo;Pi;Arch;Art;Abs;Bi;Ti;Ci
"Изображение руки, сжимающей кисть другой руки.";1;;1;;;;;;;;;;;;;;;;;;
"Фотография ног, идущих по тропинке в лесу.";1;;1;;;;;;;;;;1;;;;;;;;
"Человеческие силуэты, обнимающие друг друга на фоне заката.";1;;;;;;;;;;;;1;;;;;;;;
"Фотография человеческой головы, покрытой пеной во время бритья.";1;;1;;;;;;;;;;;;;;;;;;
"Человеческая спина, выпрямленная во время йоги.";1;;1;;;;;;;;;;;;;;;;;;
"Изображение губ, покрытых капельками дождя.";1;;1;;;;;;;;;;;;;;;;;;
"Фотография глаз, смотрящих вдаль с выражением тоски.";1;;1;;;;;;;;;;;;;;;;;;
"Силуэт человека, стоящего на вершине горы.";1;;;;;;;;;;;;1;;;;;;;;
"Изображение ступней, стоящих на горячем песке пляжа.";1;;1;;;;;;;;;;1;;;;;;;;
"Фотография уст, улыбающихся во время разговора.";1;;1;;;;;;;;;;;;;;;;;;
"Рука, подающая помощь другому человеку.";1;;1;;;;;;;;;;;;;;;;;;
"Человеческий профиль, вырезанный на фоне луны.";1;;;;;;;;;;;;1;;;;;;;;
"Фотография человеческой ладони, держащей каплю воды.";1;;1;;;;;;;;;;;;;;;;;;
"Человеческая нога, находящаяся в позе планки.";1;;1;;;;;;;;;;;;;;;;;;
"Изображение человеческого сердца, бьющегося в ритме страсти.";;;;;;;1;;;;;;;;;;;;;;
"Фотография ушей, слушающих мелодию природы.";1;;1;;;;;;;;;;;;;;;;;;
"Человеческий профиль, освещенный утренним солнцем.";1;;;;;;;;;;;;1;;;;;;;;
"Изображение губ, поцелованных пурпурным оттенком помады.";1;;1;;;;;;;;;;;;;;;;;;
"Фотография руки, пишущей по блокноту при свечах.";1;;1;;;;;;;;;;;;;;;;;;
"Человеческая фигура, танцующая под звездным небом.";1;;;;;;;;;;;;1;;;;;;;;
"Изображение глаз, выражающих удивление.";1;;1;;;;;;;;;;;;;;;;;;
"Фотография пальцев, играющих на струнах гитары.";1;;1;;;;;;1;;;;;;;;;;;;
"Человеческая спина, массируемая после тяжелого дня.";1;;1;;;;;;;;;;;;;;;;;;
"Изображение лица, отражающего радость и счастье.";1;;1;;;;;;;;;;;;;;;;;;
"Фотография ног, танцующих в дождь.";1;;1;;;;;;;;;;;;;;;;;;
"Человеческая рука, держащая в руке книгу.";1;;1;;;;;;1;;;;;;;;;;;;
"Изображение губ, шепчущих нежные слова.";1;;1;;;;;;;;;;;;;;;;;;
"Фотография глаз, пронзенных стрелой любви.";1;;1;;;;;;;;;;;;;;;;;;
"Человеческая фигура, погруженная в медитацию.";1;;;;;;;;;;;;;;;;;;;;
"Изображение рук, скрещенных в знак покаяния.";1;;1;;;;;;;;;;;;;;;;;;
"Фотография лица, выражающего глубокую задумчивость.";1;;1;;;;;;;;;;;;;;;;;;
"Человеческая спина, загорающая на берегу океана.";1;;1;;;;;;;;;;1;;;;;;;;
"Изображение ног, босых исследующих траву на лугу.";1;;1;;;;;;;;;;1;;;;;;;;
"Фотография руки, протянутой в знак приветствия.";1;;1;;;;;;;;;;;;;;;;;;
